code,name,tech,system,capacity_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
3221,ENE33811561,Wind,NORDESTE,54.078,-10.870000,-41.340000,bus-proxy,bus:OUROL2-BA500,,,OUROL2-BA500
3222,ENE33911560,Wind,NORDESTE,23.3564,-11.280000,-42.670000,bus-proxy,bus:GOURO2-BA500,,,GOURO2-BA500
3223,ENE33911594,Wind,NORDESTE,33.5385,-13.980000,-42.610000,bus-proxy,bus:IGAPO3-BA500,,,IGAPO3-BA500
3224,ENE33911561,Wind,NORDESTE,54.078,-10.870000,-41.340000,bus-proxy,bus:OUROL2-BA500,,,OUROL2-BA500
3225,EOLBA034655,Wind,NORDESTE,6.2,-10.925449,-42.553317,plant,siga:Operação,EOL.CV.BA.034655-1.1,Xique-Xique - BA,SVTOR2EOL034
3226,EOLBA034657,Wind,NORDESTE,6.2,-10.948055,-42.529456,plant,siga:Operação,EOL.CV.BA.034657-8.1,"Itaguaçu da Bahia - BA, Xique-Xique - BA",SVTOR3EOL034
3227,EOLBA034658,Wind,NORDESTE,12.4,-10.930044,-42.537076,plant,siga:Operação,EOL.CV.BA.034658-6.1,"Itaguaçu da Bahia - BA, Xique-Xique - BA",SVTOR3EOL034
3228,EOLBA034778,Wind,NORDESTE,40.5,-14.770982,-42.567222,plant,siga:Operação,EOL.CV.BA.034778-7.1,Licínio de Almeida - BA,SDA1A3EOL034
3229,EOLBA034779,Wind,NORDESTE,45.0,-14.797983,-42.572140,plant,siga:Operação,EOL.CV.BA.034779-5.1,Licínio de Almeida - BA,SDA1A3EOL034
3230,EOLBA034780,Wind,NORDESTE,40.5,-14.819882,-42.562684,plant,siga:Operação,EOL.CV.BA.034780-9.1,"Jacaraci - BA, Urandi - BA",SDA1A3EOL034
3231,EOLBA034781,Wind,NORDESTE,45.0,-14.830930,-42.584905,plant,siga:Operação,EOL.CV.BA.034781-7.1,Urandi - BA,SDA4A6EOL034
3232,EOLBA034829,Wind,NORDESTE,6.2,-10.956298,-42.562181,plant,siga:Operação,EOL.CV.BA.034829-5.1,Xique-Xique - BA,SVTOR1EOL034
3233,EOLBA034848,Wind,NORDESTE,12.4,-10.986126,-42.539621,plant,siga:Operação,EOL.CV.BA.034848-1.1,Xique-Xique - BA,SVTOR4EOL034
3234,EOLBA034849,Wind,NORDESTE,6.2,-10.971194,-42.536919,plant,siga:Operação,EOL.CV.BA.034849-0.1,Xique-Xique - BA,SVTOR4EOL034
3235,EOLBA037004,Wind,NORDESTE,4.2,-14.114559,-42.499765,plant,siga:Operação,EOL.CV.BA.037004-5.1,Caetité - BA,CNORB1EOL034
3236,EOLBA037005,Wind,NORDESTE,12.6,-14.074360,-42.512328,plant,siga:Operação,EOL.CV.BA.037005-3.1,Caetité - BA,CNORB1EOL034
3237,EOLBA037006,Wind,NORDESTE,25.2,-14.075353,-42.526283,plant,siga:Operação,EOL.CV.BA.037006-1.1,Caetité - BA,CNORB1EOL034
3238,EOLBA037084,Wind,NORDESTE,45.0,-14.792290,-42.601323,plant,siga:Operação,EOL.CV.BA.037084-3.1,"Licínio de Almeida - BA, Urandi - BA",SDA4A6EOL034
3239,EOLBA037086,Wind,NORDESTE,45.0,-14.815076,-42.596215,plant,siga:Operação,EOL.CV.BA.037086-0.1,Urandi - BA,SDA4A6EOL034
3240,EOLBA038084,Wind,NORDESTE,5.7,-11.469077,-42.165827,plant,siga:Operação,EOL.CV.BA.038084-9.1,Ibipeba - BA,VSEUG5EOL034
3241,EOLBA038085,Wind,NORDESTE,5.7,-11.540411,-42.115968,plant,siga:Operação,EOL.CV.BA.038085-7.1,Ibipeba - BA,VSEUG9EOL034
3242,EOLBA038090,Wind,NORDESTE,5.7,-11.526787,-42.118470,plant,siga:Operação,EOL.CV.BA.038090-3.1,Ibipeba - BA,VSEUG5EOL034
3243,EOLBA040777,Wind,NORDESTE,12.6,-14.179860,-42.533024,plant,siga:Operação,EOL.CV.BA.040777-1.1,Caetité - BA,CNORB2EOL034
3244,EOLBA040778,Wind,NORDESTE,4.2,-14.206851,-42.532677,plant,siga:Operação,EOL.CV.BA.040778-0.1,Caetité - BA,CNORB2EOL034
3245,EOLBA044878,Wind,NORDESTE,5.7,-11.432522,-42.137430,plant,siga:Operação,EOL.CV.BA.044878-8.1,Uibaí - BA,VSEU11EOL034
3246,EOLBA047208,Wind,NORDESTE,67.5,-11.062931,-41.279851,plant,siga:Operação,EOL.CV.BA.047208-5.1,Morro do Chapéu - BA,VSNTG4EOL034
3247,EOLBA049142,Wind,NORDESTE,49.5,-10.779929,-41.213388,plant,siga:Operação,EOL.CV.BA.049142-0.1,Ourolândia - BA,P.PINTEOL034
3248,EOLBA049143,Wind,NORDESTE,49.5,-10.741721,-41.206939,plant,siga:Operação,EOL.CV.BA.049143-8.1,Ourolândia - BA,P.PINTEOL034 034kV-2
3249,EOLBA049144,Wind,NORDESTE,45.0,-10.705543,-41.207471,plant,siga:Operação,EOL.CV.BA.049144-6.1,Ourolândia - BA,P.PINTEOL034
3250,EOLBA049145,Wind,NORDESTE,49.5,-10.668627,-41.185073,plant,siga:Operação,EOL.CV.BA.049145-4.1,"Ourolândia - BA, Umburanas - BA",P.PINTEOL034 034kV-2
3251,EOLBA049371,Wind,NORDESTE,45.0,-11.370330,-42.607186,plant,siga:Operação,EOL.CV.BA.049371-6.1,Gentio do Ouro - BA,SERAS3EOL034
3252,EOLBA049372,Wind,NORDESTE,22.5,-11.409454,-42.621165,plant,siga:Operação,EOL.CV.BA.049372-4.1,Gentio do Ouro - BA,SERAS4EOL034
3253,EOLBA049373,Wind,NORDESTE,13.5,-11.416828,-42.606723,plant,siga:Operação,EOL.CV.BA.049373-2.1,Gentio do Ouro - BA,SERAS3EOL034
3254,EOLBA049374,Wind,NORDESTE,36.0,-11.418595,-42.591879,plant,siga:Operação,EOL.CV.BA.049374-0.1,Gentio do Ouro - BA,SERAS4EOL034
3255,EOLBA049375,Wind,NORDESTE,4.5,-11.499369,-42.588437,plant,siga:Operação,EOL.CV.BA.049375-9.1,Gentio do Ouro - BA,SERAS2EOL034
3256,EOLBA049376,Wind,NORDESTE,36.0,-11.527605,-42.576138,plant,siga:Operação,EOL.CV.BA.049376-7.1,Gentio do Ouro - BA,SERAS1EOL034
3257,EOLBA049377,Wind,NORDESTE,27.0,-11.549194,-42.594802,plant,siga:Operação,EOL.CV.BA.049377-5.1,Gentio do Ouro - BA,SERAS1EOL034
3258,EOLBA049378,Wind,NORDESTE,22.5,-11.536571,-42.554903,plant,siga:Operação,EOL.CV.BA.049378-3.1,Gentio do Ouro - BA,SERAS6EOL034
3259,EOLBA049379,Wind,NORDESTE,13.5,-11.507018,-42.598799,plant,siga:Operação,EOL.CV.BA.049379-1.1,Gentio do Ouro - BA,SERAS3EOL034
3260,EOLBA049380,Wind,NORDESTE,4.5,-11.512358,-42.579063,plant,siga:Operação,EOL.CV.BA.049380-5.1,Gentio do Ouro - BA,SERAS1EOL034
3261,EOLBA049381,Wind,NORDESTE,4.5,-11.522653,-42.548115,plant,siga:Operação,EOL.CV.BA.049381-3.1,Gentio do Ouro - BA,SERAS4EOL034
3262,EOLBA049382,Wind,NORDESTE,22.5,-11.568015,-42.587063,plant,siga:Operação,EOL.CV.BA.049382-1.1,Gentio do Ouro - BA,SERAS1EOL034
3263,EOLBA049383,Wind,NORDESTE,4.5,-11.587319,-42.588409,plant,siga:Operação,EOL.CV.BA.049383-0.1,Gentio do Ouro - BA,SERAS2EOL034
3264,EOLBA049387,Wind,NORDESTE,27.0,-11.595007,-42.589287,plant,siga:Operação,EOL.CV.BA.049387-2.1,Gentio do Ouro - BA,SERAS2EOL034
3265,EOLBA049388,Wind,NORDESTE,36.0,-11.472983,-42.617025,plant,siga:Operação,EOL.CV.BA.049388-0.1,Gentio do Ouro - BA,SERAS5EOL034
3266,EOLBA049389,Wind,NORDESTE,40.5,-11.462932,-42.572862,plant,siga:Operação,EOL.CV.BA.049389-9.1,Gentio do Ouro - BA,SERAS1EOL034
3267,EOLBA049390,Wind,NORDESTE,40.5,-11.465931,-42.558609,plant,siga:Operação,EOL.CV.BA.049390-2.1,Gentio do Ouro - BA,SERAS5EOL034
3268,EOLBA049391,Wind,NORDESTE,22.5,-11.466636,-42.536068,plant,siga:Operação,EOL.CV.BA.049391-0.1,Gentio do Ouro - BA,SERAS5EOL034
3269,EOLBA049392,Wind,NORDESTE,4.5,-11.485924,-42.567892,plant,siga:Operação,EOL.CV.BA.049392-9.1,Gentio do Ouro - BA,SERAS6EOL034
3270,EOLBA049393,Wind,NORDESTE,40.5,-11.529063,-42.623590,plant,siga:Operação,EOL.CV.BA.049393-7.1,Gentio do Ouro - BA,SERAS6EOL034
3271,EOLBA049394,Wind,NORDESTE,40.5,-11.495872,-42.546258,plant,siga:Operação,EOL.CV.BA.049394-5.1,Gentio do Ouro - BA,SERAS6EOL034
3272,EOLBA049395,Wind,NORDESTE,27.0,-11.566132,-42.560769,plant,siga:Operação,EOL.CV.BA.049395-3.1,Gentio do Ouro - BA,SERAS2EOL034
3273,EOLBA049396,Wind,NORDESTE,36.0,-11.539700,-42.527479,plant,siga:Operação,EOL.CV.BA.049396-1.1,Gentio do Ouro - BA,SERAS3EOL034
3274,EOLBA049397,Wind,NORDESTE,27.0,-11.603908,-42.556014,plant,siga:Operação,EOL.CV.BA.049397-0.1,Gentio do Ouro - BA,SERAS5EOL034
3275,EOLBA049398,Wind,NORDESTE,45.0,-12.619196,-42.057722,plant,siga:Operação,EOL.CV.BA.049398-8.1,Ibitiara - BA,VSLUZIEOL034 034kV-3
3276,EOLBA049399,Wind,NORDESTE,4.5,-12.639631,-42.054030,plant,siga:Operação,EOL.CV.BA.049399-6.1,Ibitiara - BA,VSLUZIEOL034 034kV-4
3277,EOLBA049416,Wind,NORDESTE,4.5,-12.660166,-42.052829,plant,siga:Operação,EOL.CV.BA.049416-0.1,Ibitiara - BA,VSLUZIEOL034 034kV-4
3278,EOLBA049417,Wind,NORDESTE,4.5,-12.681609,-42.049685,plant,siga:Operação,EOL.CV.BA.049417-8.1,"Ibitiara - BA, Novo Horizonte - BA",VSLUZIEOL034
3279,EOLBA049418,Wind,NORDESTE,4.5,-12.701997,-42.046680,plant,siga:Operação,EOL.CV.BA.049418-6.1,Novo Horizonte - BA,VSLUZIEOL034 034kV-2
3280,EOLBA049419,Wind,NORDESTE,40.5,-12.722416,-42.043233,plant,siga:Operação,EOL.CV.BA.049419-4.1,"Boninal - BA, Novo Horizonte - BA",VSLUZIEOL034
3281,EOLBA049420,Wind,NORDESTE,40.5,-12.746329,-42.033212,plant,siga:Operação,EOL.CV.BA.049420-8.1,"Boninal - BA, Novo Horizonte - BA",VSLUZIEOL034
3282,EOLBA049421,Wind,NORDESTE,9.0,-12.770904,-42.030745,plant,siga:Operação,EOL.CV.BA.049421-6.1,Novo Horizonte - BA,VSLUZIEOL034 034kV-2
