code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
873,RCSE-3341,SUDESTE,700.76,-23.560000,-46.910000,bus-proxy,bus:JAD----SP088,,,JAD----SP088
874,RCSE-3353,SUDESTE,700.76,-23.580000,-46.520000,bus-proxy,bus:RRF----SP088,,,RRF----SP088
875,RCSE-3342,SUDESTE,700.76,-23.600000,-46.470000,bus-proxy,bus:LES----SP088,,,LES----SP088
876,RCSE-3339,SUDESTE,700.76,-23.510000,-46.520000,bus-proxy,bus:SMIGUE-SP088,,,SMIGUE-SP088
877,RCSE-3351,SUDESTE,700.76,-23.710000,-46.680000,bus-proxy,bus:PI2----SP088,,,PI2----SP088
878,RCSE-3331,SUDESTE,700.76,-23.490000,-46.770000,bus-proxy,bus:ANH----SP088,,,ANH----SP088
889,RSSE-41139,SUDESTE,1333.7,-20.380000,-43.550000,bus-proxy-interp,bus:GER-OB-MG069,,,GER-OB-MG069
890,RSSE-1752,SUDESTE,1333.7,-19.670000,-46.910000,bus-proxy,bus:CBMM---MG138,,,CBMM---MG138
891,RSSE-4471,SUDESTE,1333.7,-19.600000,-43.200000,bus-proxy-interp,bus:VALEIT-MG230,,,VALEIT-MG230
892,RSSE-1673,SUDESTE,1333.7,-21.710000,-43.400000,bus-proxy,bus:JFORA1-MG138,,,JFORA1-MG138
893,RSSE-38931,SUDESTE,1333.7,-21.660000,-46.845000,bus-proxy-interp,bus:N.EXTR-MG138,,,N.EXTR-MG138
894,RSSE-4472,SUDESTE,1333.7,-20.430000,-43.320000,bus-proxy-interp,bus:SAMAR--MG345,,,SAMAR--MG345
895,RSSE-27157,SUDESTE,1333.7,-20.480000,-43.920000,bus-proxy,bus:CSNCON-MG138,,,CSNCON-MG138
896,RSSE-1825,SUDESTE,1333.7,-17.310000,-44.920000,bus-proxy,bus:PIRAD1-MG138,,,PIRAD1-MG138
897,RSSE-27548,SUDESTE,1333.7,-20.063333,-44.750000,bus-proxy-interp,bus:USIMIN-MG138,,,USIMIN-MG138
898,RSSE-40672,SUDESTE,1333.7,-17.070000,-47.110000,bus-proxy-interp,bus:KINROS-MG500,,,KINROS-MG500
899,RSSE-3343,SUDESTE,1333.7,-23.530000,-46.750000,bus-proxy,bus:MFO----SP088,,,MFO----SP088
900,RSSE-1065,SUDESTE,1333.7,-23.450000,-46.380000,bus-proxy,bus:NOD-BE-SP088,,,NOD-BE-SP088
901,RSSE-3332,SUDESTE,1333.7,-23.600000,-46.690000,bus-proxy,bus:BAN----SP088,,,BAN----SP088
902,RSSE-1067,SUDESTE,1333.7,-23.200000,-45.890000,bus-proxy,bus:SJC----SP088,,,SJC----SP088
903,RSSE-3341,SUDESTE,1333.7,-23.560000,-46.910000,bus-proxy,bus:JAD----SP088,,,JAD----SP088
904,RSSE-3353,SUDESTE,1333.7,-23.580000,-46.520000,bus-proxy,bus:RRF----SP088,,,RRF----SP088
905,RSSE-3342,SUDESTE,1333.7,-23.600000,-46.470000,bus-proxy,bus:LES----SP088,,,LES----SP088
906,RSSE-3339,SUDESTE,1333.7,-23.510000,-46.520000,bus-proxy,bus:SMIGUE-SP088,,,SMIGUE-SP088
907,RSSE-3351,SUDESTE,1333.7,-23.710000,-46.680000,bus-proxy,bus:PI2----SP088,,,PI2----SP088
908,RSSE-3331,SUDESTE,1333.7,-23.490000,-46.770000,bus-proxy,bus:ANH----SP088,,,ANH----SP088
48,ARAUCARIA,SUL,0.0,-25.588304,-49.355862,plant,siga-name,UTE.GN.PR.027733-9.1,Araucária - PR,
156,CANDIOTA 3 2,SUL,0.0,-31.550000,-53.660000,bus-proxy,bus:CANDI-UTE013,,,CANDI-UTE013
