code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
94,MONJOLINHO,SUL,74.0,-22.022796,-47.914578,plant,siga-name,CGH.PH.SP.001486-9.2,São Carlos - SP,MONJO-UHE013
95,QUEBRA QUEIX,SUL,120.0,-26.657745,-52.544862,plant,siga-token,UHE.PH.SC.002167-9.1,"Ipuaçu - SC, São Domingos - SC",QQUEIXUHE013
97,CASTRO ALVES,SUL,129.999,-29.005299,-51.384418,plant,siga-name,UHE.PH.RS.000718-8.1,"Nova Pádua - RS, Nova Roma do Sul - RS",C.ALV-UHE013
98,MONTE CLARO,SUL,130.0,-29.030837,-51.521258,plant,siga-name,UHE.PH.RS.027968-4.1,"Bento Gonçalves - RS, Veranópolis - RS",M.CLA-UHE013
99,14 DE JULHO,SUL,100.0,-29.064753,-51.674942,plant,siga-name,UHE.PH.RS.000012-4.1,"Bento Gonçalves - RS, Cotiporã - RS",14JULHUHE013
100,ITAPIRANGA,SUL,724.5,-12.260925,-57.995019,plant,siga-name,CGH.PH.MT.030645-2.1,Brasnorte - MT,ITAPI-UHE013
101,SAO JOSE,SUL,51.0,-28.177366,-54.814637,plant,siga-name,UHE.PH.RS.029459-4.1,"Salvador das Missões - RS, Rolador - RS",S.JOSEUHE013
102,PASSO S JOAO,SUL,77.0,-28.140000,-55.050000,bus-proxy,bus:PSJOA-UHE013,,,PSJOA-UHE013
103,FOZ CHAPECO,SUL,855.0,-20.131873,-43.876935,plant,siga-token,PCH.PH.MG.000009-4.1,Nova Lima - MG,F.CHAPUHE013
110,ERNESTINA,SUL,0.0,-28.555808,-52.545561,plant,siga-name,CGH.PH.RS.000898-2.3,Tio Hugo - RS,
111,PASSO REAL,SUL,158.0,-29.017000,-53.190043,plant,siga-name,UHE.PH.RS.002003-6.1,Salto do Jacuí - RS,PRE-A-UHE013
112,JACUI,SUL,180.0,-29.072778,-53.208056,plant,siga-name,UHE.PH.RS.001217-3.1,Salto do Jacuí - RS,JAC-A-UHE013
113,ITAUBA,SUL,500.4,-29.260719,-53.235883,plant,siga-name,UHE.PH.RS.027019-9.1,Pinhal Grande - RS,ITB-A-UHE013
114,D. FRANCISCA,SUL,125.0,-20.131972,-43.877903,plant,siga-token,PCH.PH.MG.027175-6.1,Nova Lima - MG,DFRAN-UHE013
115,G. P. SOUZA,SUL,260.0,-20.137545,-43.891926,plant,siga-token,PCH.PH.MG.000010-8.1,Nova Lima - MG,GPS---UHE013
215,SALTO PILAO,SUL,191.89,-27.135891,-49.518264,plant,siga-name,UHE.PH.SC.028564-1.1,"Apiúna - SC, Ibirama - SC, Lontras - SC",S.PIL-UHE013
361,CANASTRA,SUL,44.8,-29.346641,-50.702056,plant,siga-name,UHE.PH.RS.000635-1.1,Canela - RS,
578,APERTADOS,SUL,138.9,-18.425236,-52.933333,plant,siga-token,PCH.PH.MS.037568-3.1,Costa Rica - MS,APERT-UHE013
1073,Jordao Fic01,SUL,0.0,-25.205685,-51.324676,system-centroid,system-centroid,,,
154,ITAPEBI,NORDESTE,462.011,-15.965643,-39.592639,plant,siga-name,UHE.PH.BA.001175-4.1,Itapebi - BA,ITAPE1UHE013
169,SOBRADINHO,NORDESTE,1050.3,-9.430238,-40.827199,plant,siga-name,UHE.PH.BA.002755-3.1,Sobradinho - BA,SOBRA1UHE013
172,ITAPARICA,NORDESTE,1479.6,-9.143523,-38.312405,siga-fuzzy,siga-fuzzy,UHE.PH.PE.001174-6.1,"Jatobá - PE, Petrolândia - PE, Glória - BA",
176,COMP PAF-MOX,NORDESTE,4279.6,-13.788240,-40.525113,system-centroid,system-centroid,,,
178,XINGO,NORDESTE,3162.0,-9.619580,-37.792560,plant,siga-name,UHE.PH.SE.027053-9.1,"Piranhas - AL, Canindé de São Francisco - SE",XINGO1UHE013
189,P. CAVALO,NORDESTE,160.0,-12.580000,-39.000000,bus-proxy,bus:PCAVA1UHE013,,,PCAVA1UHE013
190,B. ESPERANCA,NORDESTE,237.3,-20.137500,-43.888056,plant,siga-token,CGH.PH.MG.027788-6.1,Nova Lima - MG,
267,ESTREITO TOC,NORTE,1087.0,-6.590000,-47.470000,bus-proxy,bus:ESTREIUHE013,,,ESTREIUHE013
272,CURUA-UNA,NORTE,42.8,-2.818056,-54.299944,plant,siga-name,UHE.PH.PA.027130-6.1,Santarém - PA,
275,TUCURUI,NORTE,8535.0,-3.831598,-49.643121,plant,siga-name,UHE.PH.PA.002889-4.1,Tucuruí - PA,
314,B.MONTE COMP,NORTE,233.1,-20.137500,-43.888056,plant,siga-token,CGH.PH.MG.027788-6.1,Nova Lima - MG,
66,ITAIPU,ITAIPU,14000.0,-25.408313,-54.587417,siga-fuzzy,siga-fuzzy,UHE.PH.PR.001161-4.1,Foz do Iguaçu - PR,
276,RONDON 2,AC RO,73.5,-12.904022,-58.913291,plant,siga-token,PCH.PH.MT.002547-0.1,"Campos de Júlio - MT, Sapezal - MT",RONDIIUHE013
279,SAMUEL,AC RO,216.75,-8.750981,-63.454231,plant,siga-name,UHE.PH.RO.002687-5.1,Porto Velho - RO,SAMU1-UHE013
285,JIRAU,AC RO,3750.0,-9.267508,-64.646143,plant,siga-name,UHE.PH.RO.029736-4.1,Porto Velho - RO,
