code,name,lat,lon,confidence,source
81611,FSUL---BA230,-10.393129,-40.456445,interpolated,topology-interp
81612,FSUL-1-BA034,-10.424349,-40.472135,interpolated,topology-interp
81613,VSJN2-EOL034,-10.300000,-40.440000,case-existing,case-existing
81614,FLARGA-BA230,-10.355325,-40.437465,reference-psrbus,reference-psrbus
81615,FSUL-2-BA034,-10.437682,-40.478801,interpolated,topology-interp
81616,VSJA21EOL034,-10.440000,-40.480000,case-existing,case-existing
81617,FSUL-1-BA013,-10.408697,-40.464269,interpolated,topology-interp
81618,FSUL-2-BA013,-10.415364,-40.467603,interpolated,topology-interp
81619,FLS-T1-BA000,-10.408725,-40.464283,interpolated,topology-interp
81620,FLS-T2-BA000,-10.415392,-40.467616,interpolated,topology-interp
81621,FLAR-1-BA034,-10.358442,-40.439155,interpolated,topology-interp
81622,FLAR-2-BA034,-10.318442,-40.439155,interpolated,topology-interp
81623,FLAR-1-BA013,-10.356884,-40.438310,interpolated,topology-interp
81624,FLAR-2-BA013,-10.336884,-40.438310,interpolated,topology-interp
81625,BROTAS-BA034,-12.310000,-42.345000,interpolated,topology-interp
81626,BROTASEOL034,-12.310000,-42.350000,case-existing,case-existing
81628,MORRO-EOL034,-12.240000,-42.380000,case-existing,case-existing
81629,MORRO--BA034,-12.275000,-42.360000,interpolated,topology-interp
81631,ASSURU-BA138,-11.194434,-42.539971,interpolated,topology-interp
81632,ASSURU-BA034,-11.197212,-42.629974,interpolated,topology-interp
81633,G.OUR1EOL034,-11.120000,-42.690000,case-existing,case-existing
81634,GOI-B1-BA034,-11.155823,-42.569983,interpolated,topology-interp
81635,G.OUR1-BA138,-11.191632,-42.449963,interpolated,topology-interp
81636,G.OUR1EOL034 034kV-2,-11.120000,-42.680000,case-existing,case-existing
81637,G.OUR1EOL034 034kV-3,-11.200000,-42.720000,case-existing,case-existing
81638,GOI-B2-BA034,-11.172327,-42.459986,interpolated,topology-interp
81639,S.GABR-BA230,-11.182500,-41.765000,interpolated,topology-interp
81640,S.GAB1-BA034,-11.136250,-41.767500,interpolated,topology-interp
81641,S.GAB2-BA034,-11.101250,-41.717500,interpolated,topology-interp
81642,S.GAB1EOL034,-11.090000,-41.770000,case-existing,case-existing
81643,S.GAB2EOL034,-11.020000,-41.670000,case-existing,case-existing
81644,G.OUR1-BA230,-11.224660,-42.239984,interpolated,topology-interp
81645,LAPA23UFV034,-13.320000,-43.360000,case-existing,case-existing
81646,LAPA23-BA034,-13.316667,-43.356667,interpolated,topology-interp
81647,LAPA23-BA230,-13.313333,-43.353333,interpolated,topology-interp
81648,SPEDROUFV034,-13.320000,-43.300000,case-existing,case-existing
